Title,Author,Barcode,"Item number (internal)","Permanent library","Shelving location","Call number","Not for loan","Lost status","Damaged status","Withdrawn status","Inventory number"
"The Story of the Roman People: An Elementary History of Rome [1910 ] [Paperback]","Eva March Tappan",9764,9862,1,"6th grade classroom",,,,,,,
"The Story of the Roman People: An Elementary History of Rome [1910 ] [Paperback]","Eva March Tappan",9765,9863,1,"6th grade classroom",,,,,,,
"The Story of the Roman People: An Elementary History of Rome [1910 ] [Paperback]","Eva March Tappan",9885,9983,1,"6th grade classroom",,,,,,,
"The Story of the World",,11607,11717,1,"Middle Ages 450-1450",,,,,,,
"The Story of the World",,11608,11718,1,"Middle Ages 450-1450",,,,,,,
"The Story of the World",,11609,11719,1,"Middle Ages 450-1450",,,,,,,
"The Story of the World",,11610,11720,1,"Middle Ages 450-1450",,,,,,,
"The Story of the World",,11611,11721,1,"Middle Ages 450-1450",,,,,,,
"The Story of the World",,11612,11722,1,"Middle Ages 450-1450",,,,,,,
"The Story of the World",,11613,11723,1,"Middle Ages 450-1450",,,,,,,
"The Story of the World",,11614,11724,1,"Middle Ages 450-1450",,,,,,,
"The Story of the World",,11615,11725,1,"Middle Ages 450-1450",,,,,,,
"The Story of the World",,11616,11726,1,"Middle Ages 450-1450",,,,,,,
"The Story of the World",,11617,11727,1,"Middle Ages 450-1450",,,,,,,
"The Story of the World",,11618,11728,1,"Middle Ages 450-1450",,,,,,,
"The Story of the World Activity Book Four","Susan Wise Bauer",9713,9811,1,"4th grade classroom",,,,,,,
"The Story of the World Volume 4 Hardcover","Susan Wise Bauer",9390,9484,1,"4th grade classroom",,,,,,,
"The Story of the World Volume 4 Hardcover","Susan Wise Bauer",9391,9485,1,"4th grade classroom",,,,,,,
"The Story of the World Volume 4 Hardcover","Susan Wise Bauer",9392,9486,1,"4th grade classroom",,,,,,,
"The Story of the World Volume 4 Hardcover","Susan Wise Bauer",9393,9487,1,"4th grade classroom",,,,,,,
"The Story of the World Volume 4 Hardcover","Susan Wise Bauer",9394,9488,1,"4th grade classroom",,,,,,,
"The Story of the World Volume 4 Hardcover","Susan Wise Bauer",9395,9489,1,"4th grade classroom",,,,,,,
"The Story of the World Volume 4 Hardcover","Susan Wise Bauer",9396,9490,1,"4th grade classroom",,,,,,,
"The Story of the World Volume 4 Hardcover","Susan Wise Bauer",9706,9804,1,"4th grade classroom",,,,,,,
"The Story of the World Volume 4 Hardcover","Susan Wise Bauer",9707,9805,1,"4th grade classroom",,,,,,,
"The Story of the World Volume 4 Hardcover","Susan Wise Bauer",9708,9806,1,"4th grade classroom",,,,,,,
"The Story of the World Volume 4 Hardcover","Susan Wise Bauer",9709,9807,1,"4th grade classroom",,,,,,,
"The Story of the World Volume 4 Hardcover","Susan Wise Bauer",9710,9808,1,"4th grade classroom",,,,,,,
"The Story of the World Volume 4 Hardcover","Susan Wise Bauer",9711,9809,1,"4th grade classroom",,,,,,,
"The Story of the World Volume 4 Hardcover","Susan Wise Bauer",9712,9810,1,"4th grade classroom",,,,,,,
"The Story of the World, Activity Book , Vol. 1 , extra set of Student Pages","Susan Wise Bauer",918,935,1,"Staff Use",,,,,,,
"The Story of the World, Activity Book , Vol. 1 , extra set of Student Pages","Susan Wise Bauer",919,936,1,"Staff Use",,,,,,,
"The Story of the World, Activity Book , Vol. 1 , extra set of Student Pages","Susan Wise Bauer",920,937,1,"Staff Use",,,,,,,
"The Story of the World, Activity Book , Vol. 3 , extra set of Student Pages","Susan Wise Bauer",923,940,1,"4th grade classroom",,,,,,,
"The Story of the World, Activity Book 1: Ancient Times - From the Earliest Nomad to the Last Roman Emperor [Paperback]","Susan Wise Bauer (editor)",915,932,1,"1st grade classroom",,,,,,,
"The Story of the World, Activity Book 1: Ancient Times - From the Earliest Nomad to the Last Roman Emperor [Paperback]","Susan Wise Bauer (editor)",916,933,1,"2nd grade classroom",,,,,,,
"The Story of the World, Activity Book 1: Ancient Times - From the Earliest Nomad to the Last Roman Emperor [Paperback]","Susan Wise Bauer (editor)",917,934,1,"Staff Use",,,,,,,
"The Story of the World, Activity Book 1: Ancient Times - From the Earliest Nomad to the Last Roman Emperor [Paperback]","Susan Wise Bauer (editor)",5356,5414,1,"7th grade classroom",,,,,,,
"The Story of the World, Activity Book 1: Ancient Times - From the Earliest Nomad to the Last Roman Emperor [Paperback]","Susan Wise Bauer (editor)",9871,9969,1,"2nd grade classroom",,,,,,,
"The Story of the World, Vol. 1 (Ancient Times) [Revised Edition] - Paperback ","Susan Wise Bauer",912,929,1,"1st grade classroom",,,,,,,
"The Story of the World, Vol. 1 (Ancient Times) [Revised Edition] - Paperback ","Susan Wise Bauer",913,930,1,"2nd grade classroom",,,,,,,
"The Story of the World, Vol. 1 (Ancient Times) [Revised Edition] - Paperback ","Susan Wise Bauer",914,931,1,"Staff Use",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",921,938,1,"4th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",7476,7542,1,"7th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",7477,7543,1,"7th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",7478,7544,1,"7th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",7479,7545,1,"7th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",7480,7546,1,"7th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",8545,8627,1,"4th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",8546,8628,1,"4th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",8547,8629,1,"4th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",8548,8630,1,"4th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",8549,8631,1,"4th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",8550,8632,1,"4th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",8551,8633,1,"4th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",8552,8634,1,"4th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",8553,8635,1,"4th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",9080,9166,1,"4th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",9081,9167,1,"4th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",9082,9168,1,"4th grade classroom",,,,,,,
"The Story of the World, Vol. 3 (Early Modern Times) - Paperback ","Susan Wise Bauer",10562,10664,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child, Activity Book 2: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance [Paperback]","Bauer, Susan",4219,4262,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: Ancient Times: Tests and Answer Key (Vol. 1) (Story of the World) (v. 1) [Paperback]","Susan Wise Bauer and Elizabeth Rountree",909,926,1,CRK,,,,,,,
"The Story of the World: History for the Classical Child: Ancient Times: Tests and Answer Key (Vol. 1) (Story of the World) (v. 1) [Paperback]","Susan Wise Bauer and Elizabeth Rountree",910,927,1,"Staff Use",,,,,,,
"The Story of the World: History for the Classical Child: Ancient Times: Tests and Answer Key (Vol. 1) (Story of the World) (v. 1) [Paperback]","Susan Wise Bauer and Elizabeth Rountree",911,928,1,"Staff Use",,,,,,,
"The Story of the World: History for the Classical Child: Early Modern Times: Tests and Answer Key (Vol. 3)","Elizabeth Rountree",924,941,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",4222,4265,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",5459,5517,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",5460,5518,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",5466,5525,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",5467,5526,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",5468,5527,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",5924,5983,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",5926,5985,1,Storage,,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",5927,5986,1,Storage,,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",5928,5987,1,Storage,,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",5929,5988,1,Storage,,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",5930,5989,1,Storage,,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7425,7491,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7426,7492,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7427,7493,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7428,7494,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7429,7495,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7430,7496,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7431,7497,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7432,7498,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7433,7499,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7434,7500,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7435,7501,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7436,7502,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7437,7503,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7438,7504,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7439,7505,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",7580,7654,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",8624,8706,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",8625,8707,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",8626,8708,1,"4th grade classroom",,,,Damaged,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",8627,8709,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",8628,8710,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",8757,8841,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",9042,9127,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",9051,9136,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",9052,9137,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",9053,9138,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",9054,9139,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",9055,9140,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: From the Fall of Rome to the Rise of the Renaissance (Second Revised Edition) (Vol. 2)","Bauer, Susan Wise",9809,9907,1,"4th grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: Tests and Answer Key (Vol. 2) (Story of the World) [Paperback]","Rountree, Elizabeth",4218,4261,1,"3rd grade classroom",,,,,,,
"The Story of the World: History for the Classical Child: The Middle Ages: Tests and Answer Key (Vol. 2) (Story of the World) [Paperback]","Rountree, Elizabeth",9050,9135,1,"4th grade classroom",,,,,,,
"The Story Tree.",,4257,4300,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,4263,4306,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,4264,4307,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,4265,4308,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,4266,4309,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,4267,4310,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,4268,4311,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,4269,4312,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,4270,4313,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,4271,4314,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,4272,4315,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,4273,4316,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,4274,4317,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,4275,4318,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,4276,4319,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,11524,11634,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,11525,11635,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,11526,11636,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,11527,11637,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,11528,11638,1,"3rd grade classroom",,,,,,,
"The Story Tree.",,11711,11822,1,"3rd grade classroom",,,,,,,
"The Storyteller's Bible",,11177,11285,1,"Catholic Resources",,,,,,,
"The Sword in the Stone","T.H. White",9810,9908,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9811,9909,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9812,9910,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9813,9911,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9814,9912,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9815,9913,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9816,9914,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9817,9915,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9818,9916,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9819,9917,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9820,9918,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9821,9919,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9822,9920,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9823,9921,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9824,9922,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9825,9923,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9826,9924,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9827,9925,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9828,9926,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9829,9927,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9830,9928,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9831,9929,1,"8th grade classroom",,,,,,,
"The Sword in the Stone","T.H. White",9832,9930,1,"8th grade classroom",,,,,,,
"The Tale of Jemima Puddle-Duck","Potter, Beatrix,",3569,3610,1,"Picture Books",,,,,,,
"The Tale of Mr. Jeremy Fisher","Potter, Beatrix,",5590,5649,1,Fiction,,,,,,,
"The twits /","Dahl, Roald.",9473,9568,1,Fiction,,,,,,,
"The Usborne Book of World History","Millard, Anne",4384,4427,1,"2nd grade classroom",,,,,,,
"The Usborne Encyclopedia of Planet Earth","Anna Claybourne, Gillian Doherty and Rebecca Treays",949,966,1,"Staff Use",,,,,,,
"The Usborne Science Encyclopedia",,5116,5174,1,"Staff Use",,,,,,,
"The Wanderings of Odysseus [Mass Market Paperback]","Rosemary Sutcliff",937,954,1,"6th grade classroom",,,,,,,
"The Wanderings of Odysseus [Mass Market Paperback]","Rosemary Sutcliff",938,955,1,"Staff Use",,,,,,,
"Their Hearts are His Garden",,10985,11092,1,"Catholic Resources",,,,,,,
"These Are Our Friends","Sister M. Marguerite",11478,11587,1,"1st grade classroom",,,,,,,
"These Are Our Friends","Sister M. Marguerite",11479,11588,1,"1st grade classroom",,,,,,,
"These Are Our Friends","Sister M. Marguerite",11480,11589,1,"1st grade classroom",,,,,,,
"These Are Our People.",,4484,4538,1,"5th grade classroom",,,,,,,
"These Are Our People.",,4485,4539,1,"5th grade classroom",,,,,,,
"These Are Our People.",,4486,4540,1,"5th grade classroom",,,,,,,
"These Are Our People.",,4487,4541,1,"5th grade classroom",,,,,,,
"These Are Our People.",,4488,4542,1,"5th grade classroom",,,,,,,
"These Are Our People.",,4489,4543,1,"5th grade classroom",,,,,,,
"These Are Our People.",,4490,4544,1,"5th grade classroom",,,,,,,
"These Are Our People.",,4491,4545,1,"5th grade classroom",,,,,,,
"These Are Our People.",,4492,4546,1,"5th grade classroom",,,,,,,
"These Are Our People.",,4493,4547,1,"5th grade classroom",,,,,,,
"This is Our Family","Sister M. Marguerite",11481,11590,1,"1st grade classroom",,,,,,,
"This is Our Family","Sister M. Marguerite",11482,11591,1,"1st grade classroom",,,,,,,
"This is Our Family","Sister M. Marguerite",11483,11592,1,"1st grade classroom",,,,,,,
"This Is Our Land",,4677,4731,1,"4th grade classroom",,,,,,,
"This Is Our Land",,4678,4732,1,"4th grade classroom",,,,,,,
"This Is Our Land",,4679,4733,1,"4th grade classroom",,,,,,,
"This Is Our Land",,4680,4734,1,"4th grade classroom",,,,,,,
"This Is Our Land",,4681,4735,1,"4th grade classroom",,,,,,,
"This Is Our Land",,4682,4736,1,"4th grade classroom",,,,,,,
"This Is Our Land",,4683,4737,1,"4th grade classroom",,,,,,,
"This Is Our Land",,4684,4738,1,"4th grade classroom",,,,,,,
"This Is Our Land",,4685,4739,1,"4th grade classroom",,,,,,,
"This Is Our Land",,4686,4740,1,"4th grade classroom",,,,,,,
"This Is Our Land",,4687,4741,1,"4th grade classroom",,,,,,,
"This Is Our Land",,4688,4742,1,"4th grade classroom",,,,,,,
"This Is Our Land",,8597,8679,1,"4th grade classroom",,,,,,,
"This Is Our Land",,8598,8680,1,"4th grade classroom",,,,,,,
"This Is Our Land",,8599,8681,1,"4th grade classroom",,,,,,,
"This Is Our Land",,8600,8682,1,"4th grade classroom",,,,,,,
"This Is Our Land",,8601,8683,1,"4th grade classroom",,,,,,,
"This Is Our Land",,8602,8684,1,"4th grade classroom",,,,,,,
"This Is Our Land",,8603,8685,1,"4th grade classroom",,,,,,,
"This Is Our Land",,8604,8686,1,"4th grade classroom",,,,,,,
"This Is Our Land",,8605,8687,1,"4th grade classroom",,,,,,,
"This Is Our Land",,8606,8688,1,"4th grade classroom",,,,,,,
"This Is Our Land",,8607,8689,1,"4th grade classroom",,,,,,,
"This Is Our Land",,9889,9987,1,"4th grade classroom",,,,,,,
"This Is Our Land",,10561,10663,1,"4th grade classroom",,,,,,,
"This Is Our Town",,4245,4288,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,4246,4289,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,4247,4290,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,4248,4291,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,4249,4292,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,4250,4293,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,4251,4294,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,4252,4295,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,4253,4296,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,4254,4297,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,4255,4298,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,4256,4299,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,4306,4349,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,4537,4591,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,7579,7653,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,7593,7667,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,9043,9128,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,11529,11639,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,11530,11640,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,11531,11641,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,11709,11820,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,11800,11911,1,"3rd grade classroom",,,,,,,
"This Is Our Town",,11801,11912,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,4538,4592,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,4539,4593,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,4540,4594,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,4541,4595,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,4542,4596,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,4543,4597,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,4544,4598,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,4545,4599,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,4546,4600,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,4547,4601,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,4548,4602,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,4549,4603,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,4550,4604,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,4551,4605,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,7578,7652,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,7591,7665,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,8220,8300,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,8221,8301,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,11532,11642,1,"3rd grade classroom",,,,,,,
"This Is Our Valley",,11710,11821,1,"3rd grade classroom",,,,,,,
"Time and measuring (Adventures in discovery program).",,8482,8564,1,Non-fiction,,,,,,,
"Too Many Live in My House",,6676,6738,1,"Picture Books",,,,,,,
"Touchpebbles- Volume A - Teacher's Guide- 2003",,4461,4507,1,"5th grade classroom",,,,,,,
"Touchpebbles- Volume B - Teacher's Guide- 2003",,5004,5062,1,"4th grade classroom",,,,,,,
"Touchpebbles, Volume A: Texts for Discussion ","Comber, Geoffrey",4464,4510,1,"5th grade classroom",,,,,,,
"Touchpebbles, Volume A: Texts for Discussion ","Comber, Geoffrey",4573,4627,1,Storage,,,,,,,
"Touchpebbles, Volume A: Texts for Discussion ","Comber, Geoffrey",4574,4628,1,Storage,,,,,,,
